credit_provider_name;trading_names;registration_status;effective_date
"LESSING CASH LOANS CC";"";"lapsed";"2019/07/01"
"ALTIVEX 210 (PTY) LTD";"";"lapsed";"2014/03/31"
"Z 5 Z TRADE (PTY) LTD";"";"lapsed";"2014/10/30"
"SP MICRO LOANS (PTY) LTD";"";"registered";"2018/02/01"
"SIMZA CASH LOAN (PTY) LTD";"";"registered";"2017/12/06"
"NGULANI CASH LOAN (PTY) LTD";"";"registered";"2018/01/29"
"PEROLLA FINANCE (PTY) LTD";"";"registered";"2018/02/06"
"GWAKS FINANCE (PTY) LTD";"";"registered";"2018/02/06"
"OPULOUS FINANCE (PTY) LTD";"O FIN";"registered";"2018/02/06"
"ALT ACTICAL TRADING (PTY) LTD";"";"registered";"2018/02/05"
"MASHIRI GENERAL TRADING (PTY) LTD";"";"registered";"2018/02/02"
"NIKIS MONEY LENDER (PTY) LTD";"";"registered";"2018/02/05"
"CASH CRUSADERS BLU VALLEY (PTY) LTD";"";"registered";"2018/02/05"
"PATIN TRADING 170 (PTY) LTD";"COBOL FINANCE";"voluntarily_cancelled";"2013/10/07"
"REAL PEOPLE CREDIT (PTY) LTD";"";"voluntarily_cancelled";"2017/02/21"
"QUALITY TRADE NO 63 (PTY) LTD";"";"voluntarily_cancelled";"2012/06/22"
"HENTIQ 2007 (PTY) LTD";"VLEISSENTRAAL BOSVELD";"voluntarily_cancelled";"2008/01/04"
"ACROSS THE WORLD ENTERPRISES CC";"WORLDWISE";"voluntarily_cancelled";"2013/03/31"
"Q X FINANCIAL SERVICES CC";"SONKE FINANCE";"voluntarily_cancelled";"2016/05/17"
"HOYISANI GENERAL TRADING CC";"";"voluntarily_cancelled";"2008/10/20"
"RUDOLPH CASH LOANS CC";"";"voluntarily_cancelled";"2011/04/08"
"SHIPKA TRADING CC";"";"voluntarily_cancelled";"2014/10/15"
"KHUBA AND SONS VENTURES CC";"";"voluntarily_cancelled";"2010/12/03"
"RAVMON STORES CC";"";"lapsed";"2014/03/31"
"MR LINEN CC";"";"lapsed";"2014/03/31"
"BRENDELENE BROWER";"";"lapsed";"2014/03/31"
"IN NJAPHA CASH LOANS CC";"";"lapsed";"2014/03/31"
"ROYAL VETERANS CAPITAL (PTY) LTD";"";"lapsed";"2014/03/31"
"PHIL ALGEMENE HANDELAAR BK";"";"lapsed";"2018/11/23"
"LOUHEN FINANCIAL SERVICES BARKLY WES II BK";"";"lapsed";"2014/03/31"
"NANO 'S FINANCE CC";"";"lapsed";"2014/03/31"
"H T FINANSIELE ADVISEURS TRUST";"";"lapsed";""
"RODEL FINANCIAL SERVICES (PTY) LTD";"";"lapsed";""
"K2017256750 (SOUTH AFRICA) PTY LTD";"OKUHLE TRADING AND PROJECTS";"registered";"2018/02/02"
"PRONTO LOANS (PTY) LTD";"CASH LOANS";"registered";"2018/02/02"
"LI YAN FASHION CC";"EASY LOAN";"registered";"2018/02/05"
"CYX TRADING (PTY) LTD";"";"registered";"2018/02/05"
"UMNINI FINANCIAL SOLUTIONS (PTY) LTD";"";"registered";"2018/02/03"
"TBT SOLUTIONS (PTY) LTD";"";"registered";"2018/02/06"
"NTHUSHE MAHLAKO FINANCIAL SERVICES (PTY) LTD";"";"registered";"2018/02/06"
"UTHUSA FINANCIAL CONSULTANTS CC";"";"registered";"2018/02/06"
"REAP TRADING AND PROJECTS (PTY) LTD";"CASH CRUSADERS MIDDELBURG";"registered";"2018/02/06"
"RESOTEC INVESTMENT CIRCLE (PTY) LTD";"";"registered";"2018/02/06"
"NOORDKAAP LEWENDEHAWE VRYBURG KOOPERATIEF BEPERK";"";"voluntarily_cancelled";"2011/12/09"
"ICAS CARS CC";"BLESBOK MOTORS";"voluntarily_cancelled";"2011/01/04"
"SEGOLI INVESTMENTS CC";"EGOLI MARKETIING";"voluntarily_cancelled";"2011/08/18"
"VASILLIAN TRADING CC";"";"voluntarily_cancelled";""
"KALFIE CASH LOANS CC";"";"voluntarily_cancelled";"2010/03/21"
"ELITE CLEANING SERVICES (PTY) LTD";"";"voluntarily_cancelled";"2016/11/07"
"LIANDE TRADING CC";"CASH CRUSADERS SUNNYSIDE";"voluntarily_cancelled";"2012/06/18"
"PHAGA TRADING CC";"";"voluntarily_cancelled";"2010/10/11"
"BLUE CHIP FINANCE WESTERN CAPE (PTY) LTD";"BLUE CHIP FINANCE";"voluntarily_cancelled";"2010/04/13"
"HOME WALL UNITS (PTY) LTD";"C PLAN CENTRE - JEPPE";"voluntarily_cancelled";"2008/05/31"
"JOUBERT THOMAS EN GELDENHUYS CC";"";"lapsed";"2014/03/31"
"CSM AIR DISCOUNTING SERVICES CC";"";"lapsed";"2014/03/31"
"ELDO FINANCE CC";"";"lapsed";"2014/10/30"
"SHAUN CONDRADIE";"";"lapsed";""
"DITSHABA DIMAKETSI FAST FINANCE CC";"";"lapsed";"2014/03/31"
"P AND J SILVER CASH LOANS CC";"";"lapsed";"2014/10/30"
"MAMABOMOILA BUSINESS ENTERPRISES CC";"";"lapsed";"2018/03/19"
"PRO LINE BROKERS CC";"";"lapsed";"2018/05/01"
"GOLDEN QUILT INVESTMENTS 222 CC";"";"lapsed";"2018/11/30"
"THAKGATSO TRADING ENTERPRISE CC";"";"lapsed";"2014/03/31"
"THANHLAKA INVESTMENTS (PTY) LTD";"";"registered";"2018/02/06"
"GOLDEN MONEY MAKERS 109 CC";"";"registered";"2007/07/31"
"MAZIYA FINANCE AND ENTERPRISES (PTY) LTD";"";"registered";"2018/02/05"
"FCM FINANCIAL SERVICES (PTY) LTD";"";"registered";"2018/02/06"
"ABRAHAM JACOBUS PRETORIUS";"";"registered";"2018/02/06"
"ABERDEEN FINANSIELE DIENSTE (PTY) LTD";"";"registered";"2018/02/06"
"ELSOSYS (PTY) LTD";"";"registered";"2018/02/06"
"TRUSTY CASH LOAN (PTY) LTD";"";"registered";"2018/02/06"
"KAYKAY FINANCIAL SERVICES (PTY) LTD";"";"registered";"2018/02/06"
"TRADE FAIR INVESTMENT GROUP (PTY) LTD";"TRADE FAIR FINANCIAL SERVICE";"registered";"2018/02/06"
"C PLAN TELEVISION & RADIO (PTY) LTD";"";"voluntarily_cancelled";"2008/05/31"
"MALVERN CYCLE & FURNITURE CO. (PTY) LTD";"C PLAN CENTRE, C PLAN FURNITURES";"voluntarily_cancelled";"2019/01/16"
"KESTREL FINANCIAL SOLUTIONS (PTY) LTD";"";"voluntarily_cancelled";"2013/04/07"
"AF CONSULTANTS (PTY) LTD";"AF CONSULTANTS";"voluntarily_cancelled";"2014/05/21"
"SARMIC FINANSIELE DIENSTE CC";"FINCOR";"voluntarily_cancelled";"2013/04/30"
"ENTREPRENEUR EQUITY INVESTMENTS FUND (PTY) LTD";"";"voluntarily_cancelled";"2011/11/28"
"BASFOUR 686 (PTY) LTD";"C PLAN CELL SOUND & TV";"voluntarily_cancelled";"2008/05/31"
"MARSEL FURNISHERS (PTY) LTD";"C PLAN CENTRAL FURNISHERS";"voluntarily_cancelled";"2008/05/31"
"SOCIETY LOANS CC";"";"voluntarily_cancelled";"2009/09/29"
"THE PEOPLeS REAL DEAL FURNITURE AND APPLIANCES CC";"";"voluntarily_cancelled";"2015/04/14"
"VISHWANAND PREMRAJH";"";"lapsed";""
"HA RE KOPANENG CASH LOANS CC";"";"lapsed";"2014/03/31"
"FLYING GOOSE CC";"";"lapsed";"2014/03/31"
"GRABOUW CASH LOANS CC";"";"lapsed";""
"DIEDERICH WILHELM HEINRICH STOVER";"";"lapsed";"2014/03/31"
"BLUES ALLEY TRADING 89 CC";"";"lapsed";"2014/03/31"
"ISTORES (PTY) LTD";"";"lapsed";"2018/11/23"
"DESERT DELIGHT TRADING CC";"";"lapsed";"2014/03/31"
"INGELOSI TRADING 450 CC";"";"lapsed";"2014/03/31"
"INTEGER (PTY) LTD";"";"lapsed";"2014/03/31"
"BAVOKA TRADING CC";"KGOSHI FINANCE";"registered";"2018/02/09"
"BASETSANA TRADING (PTY) LTD";"";"registered";"2018/02/09"
"GEMSBOK FINANSIELE DIENSTE CC";"";"registered";"2007/08/23"
"MAOMING ZHENG";"HAPPY CASH LOANS";"registered";"2017/12/06"
"ANDREW LOUIS SIDERSKY";"";"registered";"2018/02/12"
"B V W COMMERCIAL (PTY) LTD";"QUICK LOANS";"registered";"2018/02/12"
"SIZIYA FIN SOLUTION (PTY) LTD";"";"registered";"2018/02/12"
"APHIWANDA ENTERPRISES (PTY) LTD";"";"registered";"2018/02/09"
"MHLURI FASHION DESIGN AND CASH LOAN (PTY) LTD";"MHLURI CASH LOAN";"registered";"2018/02/15"
"BAMOYI (PTY) LTD";"BAMOYI CASH LOANS";"registered";"2018/02/19"
"DEALFLOW LEASING CC";"";"voluntarily_cancelled";"2009/07/01"
"C PLAN GERMISTON (PTY) LTD";"BAKERS C PLAN";"voluntarily_cancelled";"2008/05/31"
"THE H. L. HALL AND SONS SHARE TRUST";"";"voluntarily_cancelled";"2012/08/28"
"SOUTH AFRICAN SECURITISATION PROGRAMME (PTY) LTD";"";"voluntarily_cancelled";"2009/12/19"
"C N C MOTORS (PTY) LTD";"CAR CITY";"voluntarily_cancelled";"2011/03/14"
"BLACKSWAN FINANCE CC";"";"voluntarily_cancelled";"2012/03/01"
"MURVANS AUTO'S CC";"BARGAIN AUTOS";"voluntarily_cancelled";"2010/07/08"
"RAILWAY OUTFITTERS (PTY) LTD";"RAILWAY OUTFITTERS- VAN DER WALT, BOOM STREET, PAUL KRUGER";"voluntarily_cancelled";"2016/08/02"
"KOEKOES & SUZETTE BELEGGINGS BK";"KOEKOES & SUZETTE BELEGGINGS";"voluntarily_cancelled";"2009/03/26"
"BETTER LIVING CASH LOANS CC";"";"voluntarily_cancelled";"2009/04/21"
"GITA FINANCE CC";"";"lapsed";"2014/03/31"
"LEABIS TRADING ENTERPRISE CC";"";"lapsed";"2014/03/31"
"LOMBAARD FAMILIE TRUST";"";"lapsed";"2014/03/31"
"BIG CASH TRADERS CC";"";"lapsed";"2014/03/31"
"MASETLADIBETE FEEDING SCHEEM AND PROJECTS CC";"";"lapsed";""
"BELLIS BUSINESS CONSULTING CC";"";"lapsed";"2014/03/31"
"BEESIM TRADING CC";"";"lapsed";"2018/11/30"
"SIYATHEMBA CASH LOANS CC";"";"lapsed";""
"BLUE LOUNGE TRADING 60 (PTY) LTD";"";"lapsed";"2014/03/31"
"ADRIAAN AMOURIE CLOETE GROBBELAAR";"";"lapsed";"2014/03/31"
"SMART MASHONISA (PTY) LTD";"";"registered";"2018/02/16"
"HAPPY SKY (PTY) LTD";"";"registered";"2018/02/15"
"NORMNERV PROJECTS (PTY) LTD";"CASH HUB FINANCIAL SERVICES";"registered";"2018/02/15"
"BRANDON SHAUN PRESENCE";"T & T FINANCE SOLUTIONS";"registered";"2018/02/13"
"HALMIS MICRO LOANS (PTY) LTD";"";"registered";"2018/02/07"
"LIMLU TRADING AND ENTERPRISE (PTY) LTD";"";"registered";"2017/12/15"
"EXTRA CHEESE (PTY) LTD";"";"registered";"2018/02/18"
"LETHUSA FINANCE (PTY) LTD";"";"registered";"2018/02/15"
"KPA MABASO TRADING 45 (PTY) LTD";"";"registered";"2018/02/20"
"ANNAMARIE ESTERHUIZEN";"A2Z DEALERS";"registered";"2018/02/20"
"CLOETESVILLE CASH LOANS CC";"V T FINANCIAL SERVICES";"voluntarily_cancelled";"2016/01/21"
"STREETWISE FINANCE (GERMISTON) CC";"";"voluntarily_cancelled";""
"STREETWISE FINANCE (FOURWAYS 1) CC";"";"voluntarily_cancelled";"2010/02/08"
"BLUE STRATA TRADING (PTY) LTD";"";"voluntarily_cancelled";"2010/02/18"
"DIPAK GIHWALA";"";"voluntarily_cancelled";"2012/11/15"
"HENEWAYS FREIGHT SERVICES (PTY) LTD";"";"voluntarily_cancelled";"2013/08/21"
"LOTUS LOANS CC";"";"voluntarily_cancelled";"2012/06/19"
"LANDMAN MICRO LOANS CC";"MONEY DIRECT KRAAIFONTEIN";"voluntarily_cancelled";"2010/05/05"
"PRIVATE MORTGAGES 2 (PTY) LTD";"";"voluntarily_cancelled";"2017/10/09"
"PRIVATE MORGAGES 1 (PTY) LTD";"";"voluntarily_cancelled";"2017/10/09"
"LEKELELA LOANS CC";"";"lapsed";"2014/03/31"
"KGAUHEHELO CASH LOANS CC";"";"lapsed";"2014/10/30"
"24 HOUR CASH CC";"";"lapsed";""
"AFRICAN INDEPENDENT ASSET FINANCE (PTY) LTD";"";"lapsed";"2014/03/31"
"SOLE KLEINSAKE ONTWIKKELING BK";"";"lapsed";"2014/10/30"
"SELUCK GENERAL TRADERS CC";"";"lapsed";"2014/03/31"
"FLEXSURE FINANCE (PTY) LTD";"";"lapsed";"2014/03/31"
"HIGHVELD SMALL LOANS CC";"";"lapsed";"2014/03/31"
"KLOOF PAWNSHOP CC";"";"lapsed";"2014/03/31"
"GOLDEN REWARDS 370 CC";"";"lapsed";""
"K2017447470 (SOUTH AFRICA) (PTY) LTD";"ORANGE CASH LOANS";"registered";"2018/02/19"
"PINNACLE MICRO LOANS (PTY) LTD";"";"registered";"2018/02/20"
"GOLD SOLES HOLDINGS (PTY) LTD";"";"registered";"2018/02/21"
"RUMBLE CASH LOAN (PTY) LTD";"";"registered";"2018/02/08"
"PARKTOWN STORES (PTY) LTD";"";"registered";"2018/02/20"
"CASH CRUSADERS KABEGA (PTY) LTD";"";"registered";"2018/02/12"
"DMT ZAKKA SOLUTIONS (PTY) LTD";"";"registered";"2018/02/20"
"MBETE PROJECTS (PTY) LTD";"";"registered";"2018/02/22"
"XIMEI CHEN";"";"registered";"2018/02/20"
"CASH CRUSADERS BOKSBURG (PTY) LTD";"";"registered";"2018/02/15"
"BASIE JNR MOTORS BK";"STRUBEN STREET MOTORS";"voluntarily_cancelled";"2008/04/30"
"MWEB CONNECT (PTY) LTD";"";"voluntarily_cancelled";"2013/08/21"
"NYAMUFUWI CASH LOAN CC";"";"voluntarily_cancelled";"2013/07/22"
"ARCADE CC";"ARCADE FINANCE";"voluntarily_cancelled";"2011/02/08"
"POLE POSITION TRADING 502 CC";"";"voluntarily_cancelled";"2009/11/06"
"JABULILE FINANCIAL SERVICE CC";"JABULILE FINANCIAL SERVICE";"voluntarily_cancelled";"2017/08/01"
"WILLEM FRANCOIS SAAYMAN";"DIE HUISVRIEND SOMERSET - OOS";"voluntarily_cancelled";"2015/12/18"
"FORTE BESIGHEIDSTRUST";"FORTE REKENMEESTERS";"voluntarily_cancelled";"2008/11/14"
"C4U CONSULTANTS (PTY) LTD";"C4U";"voluntarily_cancelled";"2010/01/27"
"NGM FINANCE CC";"";"voluntarily_cancelled";"2011/04/01"
"MARTHINUS CORNELIUS WESSELS";"";"lapsed";"2014/03/31"
"ACTISOL 137 CC";"";"lapsed";"2018/03/19"
"MELTON ADHESIVES (PTY) LTD";"";"lapsed";""
"WALMER CASH LOANS CC";"";"lapsed";"2014/03/31"
"JOROY 0032 CC";"";"lapsed";"2014/03/31"
"CHARMAINE STADLER CC";"";"lapsed";"2018/11/23"
"VERSITRADE 253 CC";"";"lapsed";"2014/03/31"
"RITCHIE MOTORS VRYHEID (PTY) LTD";"";"lapsed";""
"SIPHANGO TRADING ENTERPRISE CC";"";"lapsed";"2018/03/19"
"GOLDEN BAY PROPERTIES 140 CC";"";"lapsed";"2014/03/31"
"NKALAKATHA CASHLOAN (PTY) LTD";"";"registered";"2018/02/21"
"CASH CRUSADERS THE BRIDGE (PTY) LTD";"";"registered";"2018/02/15"
"EASTERN LAND TRADING (PTY) LTD";"";"registered";"2018/02/15"
"MAKONE FINANCIAL SERVICES AND TRADING (PTY) LTD";"";"registered";"2018/02/14"
"TIGER HAO TRADING AND PROJECTS (PTY) LTD";"TIGER HAO CASH LOAN";"registered";"2018/02/19"
"CASH CRUSADERS NORTHMEAD (PTY) LTD";"";"registered";"2018/02/14"
"CHEMALY ENTERPRISES (PTY) LTD";"SOUTH CAPE LOANS";"registered";"2018/02/08"
"MABHULA TRADING ENTEPRISE (PTY) LTD";"";"registered";"2018/02/14"
"KARNOLI ENTERPRIZES (PTY) LTD";"MASKAM CASH";"registered";"2018/02/14"
"JNFINN (PTY) LTD";"";"registered";"2018/02/14"
"DRAGER SOUTH AFRICA (PTY) LTD";"";"voluntarily_cancelled";"2012/11/19"
"MAKI SAKI PANDWINKEL CC";"";"voluntarily_cancelled";"2010/11/04"
"L AVENIR FURNISHERS CC";"Pearl Furnishers";"voluntarily_cancelled";"2016/05/30"
"HIGH POINT TRADING 805 CC";"INTRA FINANCE";"voluntarily_cancelled";"2011/09/30"
"CARGILL RSA (PTY) LTD";"";"voluntarily_cancelled";"2010/11/24"
"IMPACT CAR SALES (PTY) LTD";"ROYAL MOTORS";"voluntarily_cancelled";"2010/05/21"
"AMABOLEKA FINANCE CC";"AMAZAK FINANCE";"voluntarily_cancelled";"2014/03/25"
"TELKOM SA SOC LIMITED";"";"voluntarily_cancelled";"2017/11/20"
"LATIF FURNISHERS CC";"";"voluntarily_cancelled";"2010/08/31"
"NGATIA TRADING 162 CC";"DEBT FACTORING SERVICES";"voluntarily_cancelled";"2011/12/20"
"KHULULEKA CASH LOAN CC";"";"lapsed";""
"HABITAT FOR HUMANITY SOUTH AFRICA";"";"lapsed";"2018/03/03"
"SUNSET BEACH TRADING 82 CC";"";"lapsed";"2018/03/31"
"SKILLFULL INVESTMENTS 22 CC";"";"lapsed";"2014/03/31"
"FAST STEP FINANCE CC";"";"lapsed";"2019/07/01"
"SCENIC ROUTE TRADING 390 CC";"";"lapsed";"2018/03/19"
"ANDREW FREDRIK SMITH";"";"lapsed";"2014/03/31"
"JIGSAW TRADING CC";"";"lapsed";"2014/03/31"
"BOLOKEGILE FINANCIAL SERVICES CC";"";"lapsed";"2014/03/31"
"PHINDA M FINANCE CC";"";"lapsed";"2014/03/31"
"HIGHWAY PAYDAY CASH LOANS (PTY) LTD";"";"registered";"2018/02/16"
"DMC DEBT MANAGEMENT (PTY) LTD";"";"registered";"2007/03/22"
"SILVER SOLUTIONS 1057 CC";"EZEE CASH";"registered";"2007/07/31"
"MORGAN FINANCE (PTY) LTD";"";"registered";"2018/02/22"
"SANSHAN RESTAURANT AND TRADING (PTY) LTD";"";"registered";"2018/02/16"
"KGABO NAMELA INVESTMENT HOLDINGS (PTY) LTD";"";"registered";"2018/02/06"
"LALEQUE AFTERMATHS (PTY) LTD";"LAM";"registered";"2018/02/06"
"NJOMANE FINANCIAL SERVICES (PTY) LTD";"";"registered";"2018/02/16"
"LIQUICASH (PTY) LTD";"";"registered";"2018/02/15"
"JD CASH LOAN (PTY) LTD";"";"registered";"2018/02/19"
"THE THEKWINI FUND 7 (PTY) LTD";"";"voluntarily_cancelled";"2013/10/24"
"ACCELERATOR FUND 3 (PTY) LTD";"";"voluntarily_cancelled";"2013/07/24"
"MALUTI FACES FINANCE CC";"NALEDI FINANCE";"voluntarily_cancelled";"2009/08/31"
"GRASSY KNOLL TRADING 36 CC";"GEMS AND GOLD";"voluntarily_cancelled";"2010/04/21"
"EDAN TRADERS (PTY) LTD";"EDAN TRUCK FINANCE";"voluntarily_cancelled";"2011/03/17"
"KIM 2 TRUST";"KIM CASH, SUREFIN";"voluntarily_cancelled";"2015/10/27"
"ITT FLYGT (PTY) LTD";"";"voluntarily_cancelled";"2009/04/16"
"U C L COMPANY (PTY) LTD";"";"voluntarily_cancelled";"2018/03/07"
"PRIVATE RESIDENTIAL MORTGAGES (PTY) LTD";"";"voluntarily_cancelled";"2017/10/09"
"NJC FINANCE CC";"";"voluntarily_cancelled";"2011/03/31"
"MAFORI FINANCE (PTY) LTD";"";"lapsed";"2017/12/13"
"MAZOO TRADING ENTERPRISE CC";"";"lapsed";"2014/03/31"
"PIONEER FOODS (PTY) LTD";"";"lapsed";"2014/03/31"
"AFRICAN DAWN CAPITAL LTD";"";"lapsed";"2014/10/30"
"HIGH POINT TRADING 733 CC";"";"lapsed";"2014/03/31"
"TAKE TWO FINANCIAL SERVICES CC";"";"lapsed";"2014/03/31"
"RHENTA ENTERPRISES BK";"";"lapsed";"2019/07/01"
"PRIDESHELF 1076 CC";"";"lapsed";""
"LOURENS CORNELUIS NEL";"";"lapsed";""
"GJP FINANCE CC";"";"lapsed";"2014/03/31"
"TEN WAYS CASH LOAN (PTY) LTD";"";"registered";"2018/02/16"
"CCDEWITT (PTY) LTD";"CASH CONVERTERS ELGIN MALL";"registered";"2018/02/23"
"MAZWE FUNDING SPV (PTY) LTD";"";"registered";"2018/02/23"
"SILVEX 84 CC";"PAYNES PANDHANDELAAR";"registered";"2007/05/15"
"U-NIQUE CASH LOANS CC";"";"registered";"2018/02/23"
"PERPETUITY FIN (PTY) LTD";"";"registered";"2018/02/23"
"MKOENA GROUP (PTY) LTD";"";"registered";"2018/02/23"
"NDUMISO AND PHIWOKUHLES TRADING AND INVESTMENTS (PTY) LTD";"";"registered";"2018/02/21"
"RRTK CAPITAL (PTY) LTD";"CASH CONVERTERS HERMANUS";"registered";"2018/02/23"
"LUTHANDO GARANE";"BLUBOK LOANS";"registered";"2018/02/23"
"ILZE LAURA EICHST?DT";"ILZE EICHSTAAT ATTORNEYS";"voluntarily_cancelled";"2008/06/30"
"MUSAMA FINANCIAL SERVICES CC";"";"voluntarily_cancelled";"2010/03/12"
"SNOW LINE TRADING 509 CC";"MOTHEO CASH LOANS";"voluntarily_cancelled";"2008/02/06"
"CASH COW FINANCIAL SERVICES CC";"";"voluntarily_cancelled";"2012/08/02"
"TWILIGHT FINANCIAL SERVICES CC";"";"voluntarily_cancelled";"2009/11/07"
"MAINFIN (PTY) LTD";"";"voluntarily_cancelled";"2012/01/30"
"NEXOR 482 CC";"PHOENIX FINANCIAL SERVICES";"voluntarily_cancelled";"2014/11/13"
"KTF FINANCE CC";"KEA THUSA FINANCE";"voluntarily_cancelled";"2016/07/18"
"BALANI CC";"RATIONAL FINANCE, EGOLI, FINSERVE, LOANS FOR AFRICA";"voluntarily_cancelled";"2017/03/30"
"MUCH ASPHALT (PTY) LTD";"";"voluntarily_cancelled";"2012/08/10"
"PROFESSIONAL EVALUATION CONSULTANCY (PTY) LTD";"";"lapsed";"2014/03/31"
"CENTWISE 131 CC";"";"lapsed";"2014/10/30"
"TIWAN FINANCE CC";"";"lapsed";"2016/03/31"
"SILVER SOLUTIONS 134 CC";"";"lapsed";"2018/03/03"
"LOUHEN KONSULTANTE (DURBAN V) (PTY) LTD";"";"lapsed";""
"MAVERON CC";"";"lapsed";"2014/03/31"
"BAKRAK 713 CC";"";"lapsed";"2014/03/31"
"SILVER FALCON TRADING 338 (PTY) LTD";"";"lapsed";"2014/03/31"
"EYSELE EN FOUCHEE MANSUITRUSTERS CC";"";"lapsed";"2015/11/12"
"SHARAN INVESTMENTS CC";"";"lapsed";""
"SAMENTE CREDIT SOLUTIONS (PTY) LTD";"";"registered";"2018/02/26"
"AFG FINANCE CORPORATION (PTY) LTD";"";"registered";"2018/02/23"
"CLOCKWORK GENERAL DEALER (PTY) LTD";"";"registered";"2018/02/22"
"GOOSEN FINANCIAL SERVICES CC";"MONEY FOR AFRICA";"registered";"2007/08/03"
"LONGBURY PAWNBROKERS CC";"";"registered";"2018/02/06"
"INTOBEKO CASH PROVIDERS (PTY) LTD";"";"registered";"2018/02/15"
"THREE STAR FINANCE AND SERVICES (PTY) LTD";"THREE STAR FINANCE";"registered";"2018/03/05"
"ISIQALO TRADING (PTY) LTD";"";"registered";"2018/03/06"
"QUALIDAY (PTY) LTD";"";"registered";"2018/03/05"
"XIVONO FINANCIAL SERVICES (PTY) LTD";"";"registered";"2018/03/03"
"OCTANE ABS 1 (PTY) LTD";"";"voluntarily_cancelled";"2011/10/31"
"CASSIM MOHAMED MOTI";"MOTIS FURNITURE WHOLESALERS";"voluntarily_cancelled";"2011/01/07"
"HYRYK (PTY) LTD";"RYMAAR MOTORS";"voluntarily_cancelled";"2008/06/09"
"MATSAPA TRADING 548 CC";"MM CASH LOANS";"voluntarily_cancelled";"2016/01/20"
"LOANSPRO (PTY) LTD";"";"voluntarily_cancelled";"2011/04/08"
"HOME DEALS FURNISHERS CC";"HOME DEALS";"voluntarily_cancelled";"2008/12/04"
"IMPLEMENT CENTRE (VEREENIGING) PTY LTD";"";"voluntarily_cancelled";"2011/04/04"
"BITLINE SA 510 (PTY) LTD";"LOAN TECH FINANCIAL SERVICES & CASH CARD SALARY ADVANCE";"voluntarily_cancelled";"2019/12/03"
"KAY RUTHNAM AND ASSOCIATES CC";"";"voluntarily_cancelled";"2009/06/04"
"BAY TOWER PROPERTIES 226 CC";"ORANGE CASH LOANS, HORIZON CASH LOAN";"voluntarily_cancelled";"2014/05/20"
"MOKOPANE MICRO FINANCE CC";"";"lapsed";"2014/03/31"
"ACRON LOANS CC";"";"lapsed";"2014/03/31"
"DITSHEGO ISAAC MAIMELA";"";"lapsed";"2014/03/31"
"CAMELA BUSINESS CONSULTANTS BK";"";"lapsed";"2014/10/30"
"PREMIER ATTRACTION 650 CC";"";"lapsed";"2014/03/31"
"COMRAND BROKERS (NELSPRUIT) CC";"";"lapsed";"2018/11/23"
"TAKHELENI FINANCIAL SERVICES CC";"";"lapsed";"2014/03/31"
"DRAKOR CC";"";"lapsed";"2014/10/30"
"HOUR CIRCLE MARKETING (PTY) LTD";"";"lapsed";""
"LANICA FINANCE STANGER CC";"";"lapsed";"2014/03/31"
"SIX38COINTRADER (PTY) LTD";"";"registered";"2018/03/05"
"ROEFONTEIN CASH LOAN AND PROJECTS (PTY) LTD";"";"registered";"2018/03/05"
"MANZMAN CREDIT SOLUTION (PTY) LTD";"";"registered";"2018/03/05"
"EUGENE PIERRE HOLM";"";"registered";"2018/03/03"
"SAMBA CASH LOAN AND OTHER SERVICES (PTY) LTD";"";"registered";"2018/03/05"
"MADOO PROJECT AND SERVICERS (PTY) LTD";"M.P.S CASH LOANS";"registered";"2018/03/07"
"ARIEL CAPITAL INVESTMENT (PTY) LTD";"";"registered";"2018/03/07"
"BOKAMOSO RURAL DEVELOPMENT (PTY) LTD";"";"registered";"2018/03/06"
"MASIYA FINANCE AND LOANS (PTY) LTD";"XIDUMU";"registered";"2018/03/05"
"THIVHA CASH LOANS (PTY) LTD";"";"registered";"2018/03/05"
"SASFIN SECURITIES (PTY) LTD";"";"voluntarily_cancelled";"2019/07/18"
"J C VAN HEERDEN MOTORS CC";"";"voluntarily_cancelled";"2011/03/02"
"CEDEX INVESTMENTS (PTY) LTD";"";"voluntarily_cancelled";"2011/09/11"
"DAVID JOHANNES SENEKAL";"C & D FINANSIERING";"voluntarily_cancelled";"2008/06/04"
"OUWENDIJK FAMILY TRUST";"LEEN INVESTMENTS";"voluntarily_cancelled";"2018/05/29"
"ERIC NICOLAI JENSEN";"";"voluntarily_cancelled";"2009/02/02"
"TRADE UP-FRONT 96 (PTY) LTD";"MADISONS";"voluntarily_cancelled";"2011/07/18"
"SILVER WOOD TRADING 108 CC";"SILVER WOODS CASH LOAN CENTRE";"voluntarily_cancelled";"2008/11/18"
"ALPINE SEAT CC";"";"voluntarily_cancelled";"2008/09/30"
"HENLIE CASH LOANS CC";"PLATINUM CASH";"voluntarily_cancelled";"2010/12/28"
"LANICA FINANCE PHOENIX CC";"";"lapsed";"2014/03/31"
"ELRI CASH LOANS CC";"";"lapsed";"2014/03/31"
"DREAMTEAM TRADING 293 CC";"";"lapsed";"2014/03/31"
"DANCUTZEE CC";"";"lapsed";""
"ABC CASH PLUS (BRACKENFELL) CC";"";"lapsed";"2014/10/30"
"SILVER COMMUNICATIONS CORPORATION-PRETORIA CC";"";"lapsed";""
"LEROY DU TOIT FINANCE CC";"";"lapsed";"2018/03/19"
"FULCRUM GROUP (PTY) LTD";"";"lapsed";""
"ABACUS HOME FINANCE JOINT VENTURE";"";"lapsed";"2018/03/03"
