credit_provider_name;trading_names;registration_status;effective_date
"THEO VAN WYK";"";"registered";"2017/11/23"
"TJ SOLUTIONS ENTERPRISE (PTY) LTD";"";"registered";"2017/11/13"
"DR VS MNCUBE CONSULTING CC";"UZULU BUSINESS SOLUTIONS";"registered";"2017/11/17"
"MAGEZI PIET BALOYI";"EP FINANCIAL SERVICES";"registered";"2017/11/17"
"SAM TRADING SEVICES (PTY) LTD";"";"registered";"2017/11/15"
"CANEGROW HOLDINGS (PTY) LTD";"";"registered";"2017/11/27"
"CANATRA (PTY) LTD";"";"registered";"2017/11/14"
"STUDIO 521 INVESTMENTS CC";"CASH CONVERTERS SANDRIDGE SQUARE";"registered";"2017/11/28"
"JARGUY (PTY) LTD";"CASH CONVERTERS MEADOWDALE MALL";"registered";"2017/11/28"
"SAMORA AND STHEMBILE INVESTMENT CORPORATION (PTY) LTD";"SANDS INVESTMENTS";"registered";"2017/11/28"
"YELLOW THUNDER PROPERTIES NO 160 CC";"KIMBERLEY MICO LOANS";"cancelled_by_tribunal";"2019/07/11"
"MODISCORE CC";"CASH EXPRESS";"cancelled_by_tribunal";"2019/03/22"
"CAI LI TRADING CC";"BHUTI CASH LOANS";"cancelled_by_tribunal";"2018/12/21"
"ZUNGUZA ' S FINANCIAL SERVICES (PTY) LTD";"";"cancelled_by_tribunal";"2016/03/31"
"GABA CASH LOANS CC";"";"cancelled_by_tribunal";"2018/05/30"
"BNGLAN TRADING CC";"Bnglan Cash Loans";"cancelled_by_tribunal";"2018/03/26"
"MADUMELANI MARIA MUHAMMED";"NGHILICHI FINANCIAL SERVICES";"cancelled_by_tribunal";"2018/10/31"
"AYOMIDEMMA HOLDING (PTY) LTD";"";"cancelled_by_tribunal";"2017/06/30"
"TOYIN TRADING (PTY) LTD";"";"cancelled_by_tribunal";"2017/04/19"
"PATMAT GENERAL TRADING CC";"";"cancelled_by_tribunal";"2017/05/03"
"IRENE PRETORIUS";"PRETORIUS MEUBELS";"voluntarily_cancelled";"2013/02/17"
"DECIDE WISE SIX CC";"TEMBAKALA CASH LOANS";"voluntarily_cancelled";"2009/12/15"
"ADFINEM BUSINESS SERVICES CC";"";"voluntarily_cancelled";"2014/09/09"
"MINI CASH LOANS CC";"MINI LOANS";"voluntarily_cancelled";""
"FINGRO INVESTMENTS CC";"AFRICAN FINANCE";"voluntarily_cancelled";"2012/06/22"
"FLYING CLOUD TRADING 5 CC";"";"voluntarily_cancelled";"2019/03/06"
"DRUM JAM LIQUOR STORE (PTY) LTD";"";"voluntarily_cancelled";"2019/07/11"
"T & G EXCLUSIVE CREATIONS (PTY) LTD";"VIP IMPORTS";"voluntarily_cancelled";"2010/07/30"
"EASYWAY LEASING (PTY) LTD";"";"voluntarily_cancelled";"2018/09/14"
"EDGE GROWTH CAPITAL ( PTY) LTD";"";"voluntarily_cancelled";"2019/07/16"
"THOMAS RONALD HARRIS";"";"lapsed";"2019/07/02"
